schema_version,formula_id,stratum,online_label_mode,trace_length,trace_id,trace_json,semantic_decision_index,reported_decision_index,decision_lag_cells,additional_monitor_compute_s,final_verdict
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,0,"[[], [], [], []]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,0,"[[], [], [], []]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,1,"[[], [], [], [""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,1,"[[], [], [], [""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,2,"[[], [], [], [""a""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,2,"[[], [], [], [""a""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,3,"[[], [], [], [""a"", ""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,3,"[[], [], [], [""a"", ""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,4,"[[], [], [""b""], []]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,4,"[[], [], [""b""], []]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,5,"[[], [], [""b""], [""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,5,"[[], [], [""b""], [""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,6,"[[], [], [""b""], [""a""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,6,"[[], [], [""b""], [""a""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,sound_default,4,7,"[[], [], [""b""], [""a"", ""b""]]",4,4,0,0.0,VIOLATE
rq2.v1,eventual_next_alias,bounded_repair,exact_online,4,7,"[[], [], [""b""], [""a"", ""b""]]",4,4,0,0.0,VIOLATE
